Model_Name,Checkpoint_Path,Status,Error_Message,Overall_Accuracy,Total_Samples,Total_Correct,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_0_Support,Class_1_Support,Class_2_Support,Class_0_Correct,Class_1_Correct,Class_2_Correct,Confusion_Matrix_00,Confusion_Matrix_01,Confusion_Matrix_02,Confusion_Matrix_10,Confusion_Matrix_11,Confusion_Matrix_12,Confusion_Matrix_20,Confusion_Matrix_21,Confusion_Matrix_22,Precision_Class_0,Precision_Class_1,Precision_Class_2,Recall_Class_0,Recall_Class_1,Recall_Class_2,F1_Score_Class_0,F1_Score_Class_1,F1_Score_Class_2,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_402_acc_0.753_c0.670.720.89,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_402_acc_0.753_c0.670.720.89.ckpt,SUCCESS,,0.75,12,9,1,0.75,0.5,2,8,2,2,6,1,2,0,0,2,6,0,0,1,1,0.5,0.857142857,1,1,0.75,0.5,0.666666667,0.8,0.666666667,0.785714286,0.75,0.711111111,0.821428571,0.75,0.755555556
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_model.ckpt-480,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\model.ckpt-480,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_370_acc_0.7664,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_370_acc_0.7664.ckpt,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_260_acc_0.6941,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_260_acc_0.6941.ckpt,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_371_acc_0.7928,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_371_acc_0.7928.ckpt,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_288_acc_0.7467,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_288_acc_0.7467.ckpt,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_model.ckpt-480,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\model.ckpt-480,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_386_acc_0.760_c0.690.680.94,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_386_acc_0.760_c0.690.680.94.ckpt,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_370_acc_0.7664,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_370_acc_0.7664.ckpt,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_260_acc_0.6941,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_260_acc_0.6941.ckpt,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_371_acc_0.7928,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_371_acc_0.7928.ckpt,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_288_acc_0.7467,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_288_acc_0.7467.ckpt,SUCCESS,,0.666666667,12,8,0.5,0.75,0.5,2,8,2,1,6,1,1,1,0,2,6,0,0,1,1,0.333333333,0.75,1,0.5,0.75,0.5,0.4,0.75,0.666666667,0.694444444,0.583333333,0.605555556,0.722222222,0.666666667,0.677777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_317_acc_0.7632,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_317_acc_0.7632.ckpt,SUCCESS,,0.666666667,12,8,1,0.625,0.5,2,8,2,2,5,1,2,0,0,3,5,0,0,1,1,0.4,0.833333333,1,1,0.625,0.5,0.571428571,0.714285714,0.666666667,0.744444444,0.708333333,0.650793651,0.788888889,0.666666667,0.682539683
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_model.ckpt-420,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\model.ckpt-420,SUCCESS,,0.666666667,12,8,1,0.625,0.5,2,8,2,2,5,1,2,0,0,3,5,0,0,1,1,0.4,0.833333333,1,1,0.625,0.5,0.571428571,0.714285714,0.666666667,0.744444444,0.708333333,0.650793651,0.788888889,0.666666667,0.682539683
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_425_acc_0.740_c0.680.710.86,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_425_acc_0.740_c0.680.710.86.ckpt,SUCCESS,,0.666666667,12,8,1,0.625,0.5,2,8,2,2,5,1,2,0,0,3,5,0,0,1,1,0.4,0.833333333,1,1,0.625,0.5,0.571428571,0.714285714,0.666666667,0.744444444,0.708333333,0.650793651,0.788888889,0.666666667,0.682539683
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_408_acc_0.697_c0.660.650.80,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_408_acc_0.697_c0.660.650.80.ckpt,SUCCESS,,0.666666667,12,8,1,0.625,0.5,2,8,2,2,5,1,2,0,0,3,5,0,0,1,1,0.4,0.833333333,1,1,0.625,0.5,0.571428571,0.714285714,0.666666667,0.744444444,0.708333333,0.650793651,0.788888889,0.666666667,0.682539683
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_317_acc_0.7632,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_317_acc_0.7632.ckpt,SUCCESS,,0.666666667,12,8,1,0.625,0.5,2,8,2,2,5,1,2,0,0,3,5,0,0,1,1,0.4,0.833333333,1,1,0.625,0.5,0.571428571,0.714285714,0.666666667,0.744444444,0.708333333,0.650793651,0.788888889,0.666666667,0.682539683
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_276_acc_0.7270,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_276_acc_0.7270.ckpt,SUCCESS,,0.583333333,12,7,0,0.75,0.5,2,8,2,0,6,1,0,2,0,2,6,0,0,1,1,0,0.666666667,1,0,0.75,0.5,0,0.705882353,0.666666667,0.555555556,0.416666667,0.45751634,0.611111111,0.583333333,0.581699346
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_256_acc_0.6908,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_256_acc_0.6908.ckpt,SUCCESS,,0.583333333,12,7,0,0.75,0.5,2,8,2,0,6,1,0,2,0,2,6,0,0,1,1,0,0.666666667,1,0,0.75,0.5,0,0.705882353,0.666666667,0.555555556,0.416666667,0.45751634,0.611111111,0.583333333,0.581699346
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_276_acc_0.7270,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_276_acc_0.7270.ckpt,SUCCESS,,0.583333333,12,7,0,0.75,0.5,2,8,2,0,6,1,0,2,0,2,6,0,0,1,1,0,0.666666667,1,0,0.75,0.5,0,0.705882353,0.666666667,0.555555556,0.416666667,0.45751634,0.611111111,0.583333333,0.581699346
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_256_acc_0.6908,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_256_acc_0.6908.ckpt,SUCCESS,,0.583333333,12,7,0,0.75,0.5,2,8,2,0,6,1,0,2,0,2,6,0,0,1,1,0,0.666666667,1,0,0.75,0.5,0,0.705882353,0.666666667,0.555555556,0.416666667,0.45751634,0.611111111,0.583333333,0.581699346
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model.ckpt,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_last_epoch_model.ckpt-499,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\last_epoch_model.ckpt-499,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
